role,extracted_skills
Software Engineer,"['design', 'patterns', 'spring', 'react', 'microser', 'boot', 'aws', 'sc', 'aw', 'micro', 'agile', 'java', 'angular']"
Software Engineer,"['clean', 'fires', 'fire', 'react', 'typescript', 'github', 'javascript', 'git', 'nestjs', 'html', 'nosq', 'cs', 'mongodb', 'code']"
Software Engineer,"['react', 'actions', 'azure', 'github', 'aws', 'python', 'devops', 'micro', 'agile', 'java', 'angular', 'gcp']"
Software Engineer,"['spring', 'typescript', 'react', 'javascript', 'boot', 'git', 'sql', 'nosql']"
Software Engineer,"['react', 'github', 'javascript', 'git', 'mongodb']"
Software Engineer,"['server', 'graphq', 'html', 'sql', 'css', 'micro', 'angular']"
Software Engineer,"['http', 'github', 'git', 'postgresq', 'nosq', 'sql', 'mysq', 'gith', 'gi', 'mongodb']"
Software Engineer,"['ab', 'docker', 'spring', 'graphq', 'git', 'postgresq', 'mysq', 'python', 'gi', 'java', 'jenkins', 'mongodb']"
Software Engineer,"['design', 'patterns', 'react', 'analysis', 'html', 'javascript', 'object', 'sql', 'git', 'mysq', 'css', 'agile', 'oriented', 'angular', 'security']"
Software Engineer,"['react', 'html', 'javascript', 'git', 'github', 'agile', 'cs', 'mongodb']"
Software Engineer,"['html', 'object', 'postgresq', 'javascript', 'git', 'python', 'css', 'oriented', 'programming']"
Senior Frontend Engineer,"['fig', 'react', 'typescript', 'javascript', 'patterns']"
Senior Backend Engineer,"['go', 'graphq', 'graph', 'python', 'lang']"
Software Engineer,"['machine', 'react', 'typescript', 'gen', 'dynamodb', 'learning', 'postgresq', 'sql', 'nosq', 'python', 'intelligence', 'micro', 'aw', 'artificial', 'redis', 'patterns', 'mongodb']"
Software Engineer,"['fig', 'google', 'react', 'typescript', 'javascript', 'patterns']"
Software Engineer,"['graph', 'go', 'python']"
Software Engineer,"['design', 'patterns', 'docker', 'graphq', 'azure', 'postgresq', 'nosq', 'sql', 'aws', 'mysq', 'kubernet', 'micro', 'redis', 'gcp', 'mongodb', 'event']"
Software Engineer,"['post', 'react', 'typescript', 'javascript', 'postgresq', 'laravel', 'sql', 'php', 'mysq', 'aw', 'nosql', 'mongo', 'gi', 'lara', 'mongodb', 'code']"
Software Engineer,"['reactjs', 'js', 'typescript', 'javascript', 'git', 'postgresq', 'nestjs']"
Software Engineer,"['javascript', 'git', 'sql', 'nosq', 'php', 'python', 'java']"
Tech Lead – AI & GenAI Solutions,"['google', 'engineering', 'python', 'aw', 'cloud', 'data']"
Senior Full Stack Engineer,"['clean', 'sql', 'css', 'ops', 'angular', 'gcp', 'code', 'azure', 'javascript', 'sc', 'react', 'nosq', 'aws', 'micro', 'agile', 'jira', 'html', 'git', 'java', 'security']"
Software Engineer,"['oracle', 'react', 'django', 'typescript', 'mysql', 'azure', 'postgresq', 'aws', 'python', 'java', 'redis', 'cs', 'vu']"
Software Engineer,"['native', 'server', 'react', 'lambda', 'postgresq', 'aws', 'sql', 'nosq', 'git', 'devops', 'aw', 'cloud', 'mongodb']"
Data Scientist,"['artificial', 'python', 'intelligence']"
LLM Engineers,"['tensorflow', 'go', 'deep', 'mega', 'python']"
Database Administrator,"['cassandra', 'postgresq', 'sql', 'cloud', 'powershell', 'google', 'postgresql', 'azure', 'python', 'devops', 'warehousing', 'aws', 'nosq', 'mysq', 'data', 'security', 'oracle', 'server', 'bash', 'et', 'redis', 'mongodb']"
Data Scientist,"['google', 'con', 'react', 'typescript', 'azure', 'javascript', 'postgresq', 'sql', 'nosq', 'dock', 'mongo', 'python', 'mysq', 'micro', 'aw', 'cloud', 'gith', 'devops']"
Data Scientist,"['tensorflow', 'open', 'deep', 'machine', 'learning', 'cha', 'io', 'vid', 'python']"
AI Intern,"['vision', 'tensorflow', 'panda', 'machine', 'chatbots', 'computer', 'learning', 'science', 'python', 'intelligence', 'data', 'ops', 'artificial']"
Data Scientist,"['vision', 'google', 'machine', 'azure', 'computer', 'learning', 'javascript', 'aws', 'python', 'gith', 'cloud']"
Data Scientist,"['azure', 'dock', 'python', 'aw', 'micro']"
Software Engineer,"['computer', 'sql', 'intelligence', 'aw', 'ch', 'gcp', 'vision', 'tensorflow', 'panda', 'azure', 'python', 'ku', 'nump', 'learning', 'aws', 'nosq', 'micro', 'data', 'artificial', 'algorithms', 'docker', 'machine', 'deep', 'git', 'science', 'kubernet', 'nl']"
Software Engineer,"['python', 'javascript']"
Data Engineer,"['azure', 'github', 'sql', 'aws', 'engineering', 'science', 'python', 'analytics', 'data', 'gi']"
System Analyst (Associate/ Trainee),[]
Devops Engineer,"['python', 'learning', 'machine']"
Software Engineer,"['fig', 'react', 'nos', 'http', 'javascript', 'html', 'lambda', 'aws', 'sql', 'css', 'devops', 'nosql', 'gith', 'java']"
System Implementation Engineer,"['java', 'php', 'python', 'javascript']"
Full Stack Engineer (Mid - Senior Level),"['react', 'typescript', 'javascript', 'git', 'sql', 'nosq', 'python', 'java', 'angular', 'vu']"
IT Support Engineer,"['cisco', 'server', 'windows']"
IT Support Executive (Female),[]
Graphic Designer | Social Media Manager - Nawala,[]
Qa Engineer,"['react', 'spring', 'boot', 'ium', 'laravel', 'aws', 'postman', 'sw', 'mysq', 'cypress', 'devops', 'agile', 'java', 'se']"
Software Engineer,"['python', 'gith', 'rust']"
Software Engineer,"['integration', 'sql', 'css', 'ios', 'angular', 'design', 'javascript', 'ku', 'android', 'sq', 'unit', 'react', 'spring', 'mysq', 'agile', 'net', 'terraform', 'patterns', 'docker', 'oracle', 'testing', 'java']"
Software Engineer,"['integration', 'sql', 'ios', 'angular', 'design', 'javascript', 'ku', 'cs', 'android', 'sq', 'unit', 'react', 'spring', 'mysq', 'agile', 'net', 'terraform', 'patterns', 'docker', 'oracle', 'html', 'testing', 'java']"
Associate Tech Lead | Tech Lead Java,"['design', 'azure', 'dock', 'junit', 'ios', 'aw', 'agile', 'ku', 'java', 'patterns', 'android', 'cum', 'se']"
Software Engineer,"['integration', 'sql', 'css', 'ios', 'angular', 'sca', 'design', 'javascript', 'dock', 'ku', 'android', 'sq', 'unit', 'react', 'spring', 'mysq', 'agile', 'terraform', 'patterns', 'oracle', 'html', 'testing', 'java', 'sl']"
Manager - Digital,[]
Software Engineer,"['jun', 'design', 'oracle', 'isa', 'spring', 'microser', 'boot', 'gi', 'java', 'jenkins', 'patterns']"
Executive - IT Audit  (1),[]
Senior Associate - IT Audit  (1),[]
Software Engineer,"['git', 'native', 'react']"
Senior / Lead Consultant - Finance (SAP S/4HANA) (1),"['sales', 'sap']"
Graphic Designer,['fig']
Qa Engineer,"['playwright', 'actions', 'ape', 'html', 'javascript', 'ium', 'postman', 'ji', 'css', 'cypress', 'gith', 'agile', 'jenkins', 'se']"
Graphic Designer (1),[]
Software Engineer,"['clean', 'playwright', 'react', 'typescript', 'graph', 'html', 'javascript', 'git', 'css', 'cypress', 'tail', 'ac', 'code']"
Software Engineer,"['scripts', 'server', 'html', 'sql', 'agile', 'java', 'cs']"
Head of ICT,[]
Qa Engineer,"['javascript', 'testing', 'sc', 'cypress', 'devops', 'python', 'agile', 'automation', 'java', 'se']"
ERP Implementation Specialist (1),"['dynamics', 'sap', 'go', 'oracle']"
Qa Engineer,"['post', 'react', 'html', 'javascript', 'postgresq', 'ji', 'css', 'ios', 'cypress', 'android', 'se']"
Intern - DevOps (1),"['linux', 'docker', 'bash', 'http', 'actions', 'https', 'dev', 'github', 'devse', 'git', 'python', 'devops', 'kubernet', 'vo', 'unix', 'powershell', 'jenkins']"
Graphic Designer,[]
Software Engineer,"['clean', 'html', 'javascript', 'git', 'css', 'cs', 'code']"
Graphic & Video Designer,[]
System Administrator,[]
Software Engineer,"['linux', 'javascript', 'owl', 'postgresq', 'git', 'python']"
Software Engineer,"['linux', 'javascript', 'owl', 'postgresq', 'git', 'python']"
Assistant Coordinator (1),"['information', 'security']"
Project Manager,"['sales', 'sap', 'sc', 'agile', 'hana']"
Software Engineer,"['server', 'airflow', 'postgre', 'postgresq', 'sql', 'python', 'apache', 'et']"
Software Engineer,"['sap', 'js', 'react', 'typescript', 'jk', 'javascript', 'salesforce', 'angular', 'vu']"
Software Engineer,"['sales', 'design', 'sap', 'server', 'sql', 'op', 'patterns']"
Senior Consultant SAP (RE ? FX) (1),"['sales', 'sap', 'unit', 'integration', 'testing']"
Software Engineer,"['sales', 'sap', 'js', 'react', 'javascript', 'html', 'sql', 'mongo', 'micro', 'gi', 'agile', 'java', 'cs', 'mongodb']"
Software Engineer,"['sales', 'sap', 'react', 'azure', 'javascript', 'html', 'sc', 'mongo', 'devops', 'aw', 'agile', 'java', 'cs']"
Qa Engineer,"['jira', 'confluence', 'go', 'sap', 'post', 'scrum', 'sql', 'sw', 'salesforce', 'agile', 'elastic']"
Qa Engineer,"['sales', 'jira', 'post', 'sap', 'scrum', 'testing', 'sc', 'ji', 'salesforce', 'agile', 'confluence']"
Senior SAP Finance Consultant (1),"['sales', 'sap']"
Senior Solutions Designer (.NET Full Stack)  (1),"['windows', 'design', 'patterns', 'server', 'azure', 'microser', 'javascript', 'aws', 'sql', 'kuber', 'devops', 'agile', 'angular', 'cs', 'postgres']"
Senior Executive - Graphic Designing,[]
Product Manager,"['linux', 'windows', 'smoke', 'unit', 'integration', 'ajax', 'cs', 'mys', 'testing', 'javascript', 'laravel', 'sql', 'php', 'mysq', 'boots', 'gith', 'gi', 'bitbuck']"
Software Engineer,"['server', 'ajax', 'javascript', 'sql', 'cs']"
Graphic Designer,[]
Programme Executive,[]
Master Data Officer ? ERP Application Support (1),"['sap', 'go']"
Software Engineer,"['linux', 'jira', 'scrum', 'postgresq', 'dock', 'kan', 'mysq', 'ios', 'gith', 'agile', 'gi', 'lara', 'flutter', 'android', 'vu']"
Qa Engineer,"['sc', 'git', 'agile', 'se']"
Senior Digital Designer (Web + Social + Video),['fig']
Project Manager,['devops']
Project Manager,"['go', 'azure', 'ji', 'devops', 'agile']"
Project Manager,"['go', 'azure', 'ji', 'devops', 'aw', 'agile']"
Product Support Engineer (1),['sq']
ERP Consultant | Associate | Executive,[]
Technical Lead (Full Time | Remote),"['react', 'typescript', 'mongo', 'devops', 'gith', 'angular', 'mongodb']"
Junior | Intern - Graphic Designer,[]
Software Engineer,"['go', 'docker', 'react', 'microser', 'sql', 'nosq', 'kubernet', 'devops', 'flutter']"
Digital Marketing Associate (1),"['css', 'html', 'javascript']"
Senior Backend Engineer - Cloud & Distributed Systems,"['python', 'aw', 'ku', 'red']"
Software Engineer,"['go', 'typescript', 'azure', 'python', 'aw', 'gi', 'agile', 'java', 'gcp']"
Embedded Engineer,"['sc', 'windows', 'ji', 'azure']"
Executive - Graphic Designer,[]
Data Analyst,"['waterfall', 'agile']"
Software Engineer,"['graph', 'laravel', 'css', 'per', 'aw', 'jenkins', 'bitbuck', 'javascript', 'gith', 'linux', 'actions', 'aws', 'mysq', 'docker', 'bash', 'html', 'git', 'github', 'cent', 'php', 'apache', 'ng']"
Video Editors - Full Time,[]
Graphic Designer - Intern,[]
Executive - System Engineer (AUS Calendar - AUS Shift) (1),"['windows', 'security']"
Project Manager,"['fig', 'waterfall', 'ji', 'agile', 'confluence']"
Data Analyst,"['fig', 'sql', 'ji', 'agile', 'data', 'analysis']"
Associate Pre-Sales Engineer - Enterprise Systems Solutions,"['linux', 'windows', 'ovo', 'azure', 'aw', 'ware']"
Tech Lead - Machine Learning,"['vision', 'design', 'patterns', 'tensorflow', 'open', 'machine', 'ke', 'huawei', 'azure', 'computer', 'learning', 'aws', 'python', 'aw', 'data', 'ch', 'security', 'gcp']"
Video Editor,[]
Devops Engineer,"['linux', 'ab', 'google', 'docker', 'actions', 'github', 'devse', 'devops', 'kubernet', 'cloud', 'terraform', 'gi', 'jenkins', 'gcp']"
Data Analyst,"['sc', 'cyber', 'devops', 'agile']"
Dean - Faculty of Information Technology,[]
Monitoring & Evaluation Officer,"['data', 'analysis']"
APPLICATION SUPPORT SPECIALIST  (1),"['java', 'php', 'sql']"
Data Engineer,"['azure', 'sql', 'engineering', 'python', 'data', 'powershell', 'et']"
Trainee -Accounts & Stores,[]
It Manager,[]
Software Engineer,"['design', 'patterns', 'sq', 'react', 'dock', 'ka', 'sc', 'mysq', 'devops', 'micro', 'agile', 'security', 'mongodb']"
Azure / Dynamics 365 Business Central Administrator (1),"['bash', 'actions', 'azure', 'firewall', 'github', 'devops', 'terraform', 'powershell']"
Associate - IT Audit  (1),[]
Product Manager,"['ji', 'waterfall', 'wi', 'agile']"
Software Engineer,"['clean', 'design', 'js', 'azure', 'object', 'sql', 'aw', 'nosql', 'data', 'java', 'oriented', 'patterns', 'programming', 'code']"
Software Engineer,"['design', 'ios', 'flutter', 'patterns', 'android']"
Project Manager,"['ji', 'confluence', 'agile']"
Project Manager,"['sc', 'ji', 'confluence', 'cs']"
Project Manager,"['scrum', 'waterfall', 'agile']"
Odoo Support Engineer,[]
Software Engineer,"['js', 'oracle', 'react', 'django', 'typescript', 'mysql', 'azure', 'postgresq', 'aws', 'python', 'css', 'java', 'redis', 'vu']"
Assistant Manager | Senior Executive  - IT Risk Management,"['cyber', 'information', 'security']"
Software Engineer,"['html', 'css', 'uit', 'javascript']"
Product Manager,[]
Data Protection Officer,['security']
Cybersecurity Engineer,"['information', 'security']"
Graphics & Page Designer,['less']
Website & Digital Sales Manager,[]
Intern ? Information Technology (1),"['sales', 'sap']"
Software Engineer,[]
Database Administrator,"['engineering', 'data']"
Software Engineer,"['javascript', 'git', 'sql', 'nosq', 'php', 'python', 'java']"
Software Engineer,"['ia', 'react', 'spring', 'actions', 'mys', 'boot', 'lambda', 'dock', 'mysq', 'apache', 'aw', 'micro', 'devops', 'gith', 'java', 'ku', 'jenkins', 'ka']"
Senior Executive - Information System Audit   (1),"['information', 'security']"
Assistant Sales Engineer,[]
Academic Program Architect & Ops Lead,[]
Shared Services Transformation Lead ? Foods (1),"['sales', 'sap']"
IT Executive - Corporate Office | Digital Marketing Executive - Corporate Office | SEO & Web Performance Executive - Corporate Office (1),[]
3D Modeller (Unity),"['maya', 'unity', 'nowhere']"
AI Based Video & Graphic Designer,['fire']
Senior Executive - Digital Marketing & Graphic Designing,[]
Graphic Designer,[]
Application Support Associate,"['information', 'security']"
Software Engineer,"['fig', 'react', 'typescript', 'javascript', 'gi', 'cs', 'vu']"
Consultant (SAP FICO) (1),"['sap', 'salesforce']"
MS Business Central Functional Consultant,[]
